 | 143  | Sigilyph           |  0.33092% | 980    |  0.331% | 320    |  0.673% |
 | 144  | Durant             |  0.27048% | 801    |  0.270% | 318    |  0.669% |
 | 145  | Suicune            |  0.38292% | 1134   |  0.383% | 317    |  0.667% |
 | 146  | Vaporeon           |  0.31100% | 921    |  0.311% | 316    |  0.664% |
 | 147  | Ursaring           |  0.24380% | 722    |  0.244% | 311    |  0.654% |
 | 148  | Clawitzer          |  0.23401% | 693    |  0.234% | 308    |  0.648% |
 | 149  | Raichu             |  0.31775% | 941    |  0.318% | 308    |  0.648% |
 | 150  | Quagsire           |  0.31100% | 921    |  0.311% | 303    |  0.637% |
 | 151  | Regirock           |  0.27723% | 821    |  0.277% | 303    |  0.637% |
 | 152  | Goodra             |  0.33261% | 985    |  0.333% | 301    |  0.633% |
 | 153  | Marowak            |  0.24076% | 713    |  0.241% | 300    |  0.631% |
 | 154  | Audino             |  0.27993% | 829    |  0.280% | 296    |  0.622% |
 | 155  | Mamoswine          |  0.33869% | 1003   |  0.339% | 295    |  0.620% |
 | 156  | Bouffalant         |  0.25258% | 748    |  0.253% | 291    |  0.612% |
 | 157  | Scrafty            |  0.24785% | 734    |  0.248% | 288    |  0.606% |
 | 158  | Kecleon            |  0.19416% | 575    |  0.194% | 287    |  0.603% |
 | 159  | Zangoose           |  0.20429% | 605    |  0.204% | 283    |  0.595% |
 | 160  | Bastiodon          |  0.21240% | 629    |  0.212% | 279    |  0.587% |
 | 161  | Empoleon           |  0.27048% | 801    |  0.270% | 268    |  0.563% |
 | 162  | Linoone            |  0.21949% | 650    |  0.219% | 265    |  0.557% |
 | 163  | Typhlosion         |  0.28770% | 852    |  0.288% | 265    |  0.557% |
 | 164  | Camerupt           |  0.25190% | 746    |  0.252% | 254    |  0.534% |
 | 165  | Delphox            |  0.27284% | 808    |  0.273% | 254    |  0.534% |
 | 166  | Ludicolo           |  0.25596% | 758    |  0.256% | 248    |  0.521% |
 | 167  | Honchkrow          |  0.22793% | 675    |  0.228% | 245    |  0.515% |
 | 168  | Zapdos             |  0.24279% | 719    |  0.243% | 245    |  0.515% |
 | 169  | Hitmonchan         |  0.17491% | 518    |  0.175% | 243    |  0.511% |
 | 170  | Gigalith           |  0.20834% | 617    |  0.208% | 240    |  0.505% |
 | 171  | Hariyama           |  0.19281% | 571    |  0.193% | 235    |  0.494% |
 | 172  | Ninetales          |  0.19686% | 583    |  0.197% | 228    |  0.479% |
 | 173  | Swellow            |  0.28500% | 844    |  0.285% | 227    |  0.477% |
 | 174  | Torterra           |  0.20328% | 602    |  0.203% | 227    |  0.477% |
 | 175  | Magikarp           |  0.22658% | 671    |  0.227% | 225    |  0.473% |
 | 176  | Cresselia          |  0.22219% | 658    |  0.222% | 223    |  0.469% |
 | 177  | Thundurus-Therian  |  0.25562% | 757    |  0.256% | 223    |  0.469% |
 | 178  | Regice             |  0.28770% | 852    |  0.288% | 219    |  0.460% |
 | 179  | Drapion            |  0.16512% | 489    |  0.165% | 214    |  0.450% |
 | 180  | Abomasnow          |  0.20395% | 604    |  0.204% | 214    |  0.450% |
 | 181  | Eevee              |  0.16411% | 486    |  0.164% | 211    |  0.444% |
 | 182  | Wigglytuff         |  0.12359% | 366    |  0.124% | 211    |  0.444% |
 | 183  | Tropius            |  0.18808% | 557    |  0.188% | 209    |  0.439% |
 | 184  | Reuniclus          |  0.19754% | 585    |  0.198% | 203    |  0.427% |
 | 185  | Liepard            |  0.21105% | 625    |  0.211% | 203    |  0.427% |
 | 186  | Miltank            |  0.10839% | 321    |  0.108% | 203    |  0.427% |
 | 187  | Regigigas          |  0.18099% | 536    |  0.181% | 200    |  0.421% |
 | 188  | Glaceon            |  0.21949% | 650    |  0.219% | 198    |  0.416% |
 | 189  | Furfrou            |  0.13608% | 403    |  0.136% | 197    |  0.414% |
 | 190  | Archeops           |  0.18133% | 537    |  0.181% | 194    |  0.408% |
 | 191  | Pangoro            |  0.14047% | 416    |  0.140% | 190    |  0.399% |
 | 192  | Flareon            |  0.14587% | 432    |  0.146% | 190    |  0.399% |
 | 193  | Sudowoodo          |  0.12764% | 378    |  0.128% | 189    |  0.397% |
 | 194  | Registeel          |  0.17930% | 531    |  0.179% | 187    |  0.393% |
 | 195  | Jellicent          |  0.15364% | 455    |  0.154% | 183    |  0.385% |
 | 196  | Weezing            |  0.15871% | 470    |  0.159% | 182    |  0.383% |
 | 197  | Granbull           |  0.15634% | 463    |  0.156% | 182    |  0.383% |
 | 198  | Raikou             |  0.18943% | 561    |  0.189% | 181    |  0.381% |
 | 199  | Samurott           |  0.17255% | 511    |  0.173% | 179    |  0.376% |
 | 200  | Carracosta         |  0.14486% | 429    |  0.145% | 174    |  0.366% |
 | 201  | Mr. Mime           |  0.16343% | 484    |  0.163% | 170    |  0.357% |
 | 202  | Scyther            |  0.15465% | 458    |  0.155% | 169    |  0.355% |
 | 203  | Froslass           |  0.22658% | 671    |  0.227% | 169    |  0.355% |
 | 204  | Feraligatr         |  0.16749% | 496    |  0.167% | 167    |  0.351% |
 | 205  | Raticate           |  0.11886% | 352    |  0.119% | 166    |  0.349% |
 | 206  | Luxray             |  0.18066% | 535    |  0.181% | 166    |  0.349% |
 | 207  | Scolipede          |  0.21476% | 636    |  0.215% | 164    |  0.345% |
 | 208  | Roserade           |  0.19754% | 585    |  0.198% | 164    |  0.345% |
 | 209  | Azelf              |  0.17491% | 518    |  0.175% | 161    |  0.339% |
 | 210  | Dusknoir           |  0.13676% | 405    |  0.137% | 160    |  0.336% |
 | 211  | Gastrodon          |  0.11548% | 342    |  0.115% | 159    |  0.334% |
 | 212  | Spiritomb          |  0.15060% | 446    |  0.151% | 154    |  0.324% |
 | 213  | Starmie            |  0.18167% | 538    |  0.182% | 153    |  0.322% |
 | 214  | Florges            |  0.15736% | 466    |  0.157% | 151    |  0.317% |
 | 215  | Electrode          |  0.13372% | 396    |  0.134% | 149    |  0.313% |
 | 216  | Tauros             |  0.15533% | 460    |  0.155% | 145    |  0.305% |
 | 217  | Numel              |  0.10029% | 297    |  0.100% | 143    |  0.301% |
 | 218  | Zoroark            |  0.16782% | 497    |  0.168% | 142    |  0.299% |
 | 219  | Muk                |  0.11650% | 345    |  0.116% | 142    |  0.299% |
 | 220  | Primeape           |  0.12089% | 358    |  0.121% | 141    |  0.296% |
 | 221  | Butterfree         |  0.08611% | 255    |  0.086% | 139    |  0.292% |
 | 222  | Leafeon            |  0.18032% | 534    |  0.180% | 139    |  0.292% |
 | 223  | Lilligant          |  0.16715% | 495    |  0.167% | 139    |  0.292% |
 | 224  | Dragalge           |  0.12393% | 367    |  0.124% | 136    |  0.286% |
 | 225  | Stunfisk           |  0.11042% | 327    |  0.110% | 136    |  0.286% |
 | 226  | Celebi             |  0.10907% | 323    |  0.109% | 134    |  0.282% |
 | 227  | Golurk             |  0.10603% | 314    |  0.106% | 134    |  0.282% |
 | 228  | Cradily            |  0.10400% | 308    |  0.104% | 130    |  0.273% |
 | 229  | Gothitelle         |  0.12764% | 378    |  0.128% | 129    |  0.271% |
 | 230  | Ninjask            |  0.12865% | 381    |  0.129% | 129    |  0.271% |
 | 231  | Mienshao           |  0.13878% | 411    |  0.139% | 129    |  0.271% |
 | 232  | Accelgor           |  0.12697% | 376    |  0.127% | 129    |  0.271% |
 | 233  | Toxicroak          |  0.11920% | 353    |  0.119% | 127    |  0.267% |
 | 234  | Vigoroth           |  0.09218% | 273    |  0.092% | 124    |  0.261% |
 | 235  | Krookodile         |  0.12730% | 377    |  0.127% | 123    |  0.259% |
 | 236  | Jumpluff           |  0.17188% | 509    |  0.172% | 120    |  0.252% |
 | 237  | Gourgeist-Super    |  0.18336% | 543    |  0.183% | 118    |  0.248% |
 | 238  | Tangrowth          |  0.10468% | 310    |  0.105% | 116    |  0.244% |
