 | 168  | Whimsicott         |  1.65235% | 2405   |  1.652% | 1832   |  1.741% |
 | 169  | Cradily            |  1.65235% | 2405   |  1.652% | 1806   |  1.716% |
 | 170  | Vileplume          |  1.65098% | 2403   |  1.651% | 1645   |  1.563% |
 | 171  | Florges            |  1.65029% | 2402   |  1.650% | 1690   |  1.606% |
 | 172  | Tauros             |  1.64480% | 2394   |  1.645% | 1618   |  1.538% |
 | 173  | Malamar            |  1.63174% | 2375   |  1.632% | 1793   |  1.704% |
 | 174  | Weavile            |  1.63105% | 2374   |  1.631% | 1562   |  1.485% |
 | 175  | Audino             |  1.62212% | 2361   |  1.622% | 1466   |  1.393% |
 | 176  | Haxorus            |  1.62144% | 2360   |  1.621% | 1512   |  1.437% |
 | 177  | Ariados            |  1.61594% | 2352   |  1.616% | 1797   |  1.708% |
 | 178  | Porygon-Z          |  1.61457% | 2350   |  1.615% | 1659   |  1.577% |
 | 179  | Kyurem-Black       |  1.61457% | 2350   |  1.615% | 1465   |  1.392% |
 | 180  | Sawk               |  1.61457% | 2350   |  1.615% | 1612   |  1.532% |
 | 181  | Serperior          |  1.61250% | 2347   |  1.612% | 1617   |  1.537% |
 | 182  | Jirachi            |  1.61250% | 2347   |  1.612% | 1690   |  1.606% |
 | 183  | Aggron             |  1.61044% | 2344   |  1.610% | 1820   |  1.730% |
 | 184  | Honchkrow          |  1.61044% | 2344   |  1.610% | 1621   |  1.541% |
 | 185  | Porygon2           |  1.60701% | 2339   |  1.607% | 1708   |  1.623% |
 | 186  | Carracosta         |  1.60701% | 2339   |  1.607% | 1701   |  1.617% |
 | 187  | Gyarados           |  1.60632% | 2338   |  1.606% | 1663   |  1.581% |
 | 188  | Kingdra            |  1.60563% | 2337   |  1.606% | 1616   |  1.536% |
 | 189  | Victini            |  1.60357% | 2334   |  1.604% | 1675   |  1.592% |
 | 190  | Heracross          |  1.60151% | 2331   |  1.601% | 1522   |  1.447% |
 | 191  | Blissey            |  1.60014% | 2329   |  1.600% | 1625   |  1.544% |
 | 192  | Alakazam           |  1.59945% | 2328   |  1.599% | 1577   |  1.499% |
 | 193  | Zygarde            |  1.59121% | 2316   |  1.591% | 1552   |  1.475% |
 | 194  | Chandelure         |  1.58708% | 2310   |  1.587% | 1699   |  1.615% |
 | 195  | Slurpuff           |  1.58434% | 2306   |  1.584% | 1515   |  1.440% |
 | 196  | Muk                |  1.58434% | 2306   |  1.584% | 1597   |  1.518% |
 | 197  | Cresselia          |  1.57334% | 2290   |  1.573% | 1650   |  1.568% |
 | 198  | Milotic            |  1.56991% | 2285   |  1.570% | 1704   |  1.619% |
 | 199  | Gardevoir          |  1.56647% | 2280   |  1.566% | 1438   |  1.367% |
 | 200  | Hydreigon          |  1.56441% | 2277   |  1.564% | 1522   |  1.447% |
 | 201  | Barbaracle         |  1.56166% | 2273   |  1.562% | 1425   |  1.354% |
 | 202  | Tornadus           |  1.55960% | 2270   |  1.560% | 1615   |  1.535% |
 | 203  | Entei              |  1.55754% | 2267   |  1.558% | 1641   |  1.560% |
 | 204  | Arcanine           |  1.55342% | 2261   |  1.553% | 1618   |  1.538% |
 | 205  | Breloom            |  1.54707% | 2252   |  1.547% | 1564   |  1.486% |
 | 206  | Toxicroak          |  1.54517% | 2249   |  1.545% | 1612   |  1.532% |
 | 207  | Hitmonchan         |  1.54311% | 2246   |  1.543% | 1453   |  1.381% |
 | 208  | Sneasel            |  1.53968% | 2241   |  1.540% | 1499   |  1.425% |
 | 209  | Shaymin            |  1.53212% | 2230   |  1.532% | 1579   |  1.501% |
 | 210  | Zangoose           |  1.52662% | 2222   |  1.527% | 1528   |  1.452% |
 | 211  | Dragalge           |  1.52594% | 2221   |  1.526% | 1551   |  1.474% |
 | 212  | Darmanitan         |  1.52594% | 2221   |  1.526% | 1615   |  1.535% |
